大科目类别,子科目名称,题目类型,题目编号,题目文本,题目答案的汉字长度,题目prompt
人文与社会科学,《技能操作》（心理咨询师考试）,简答题,40,如何体现咨询师的真诚？,78,"以下是《技能操作》（心理咨询师考试）科目的问题，请解答并把回复控制在78个汉字左右。
如何体现咨询师的真诚？"
人文与社会科学,《技能操作》（心理咨询师考试）,简答题,41,表达真诚时需要注意什么问题？,40,"以下是《技能操作》（心理咨询师考试）科目的问题，请解答并把回复控制在40个汉字左右。
表达真诚时需要注意什么问题？"
人文与社会科学,《技能操作》（心理咨询师考试）,简答题,42,共情有何意义？,152,"以下是《技能操作》（心理咨询师考试）科目的问题，请解答并把回复控制在152个汉字左右。
共情有何意义？"
人文与社会科学,《技能操作》（心理咨询师考试）,简答题,43,简述缺乏共情产生的障碍。,53,"以下是《技能操作》（心理咨询师考试）科目的问题，请解答并把回复控制在53个汉字左右。
简述缺乏共情产生的障碍。"
人文与社会科学,《技能操作》（心理咨询师考试）,简答题,44,正确使用共情需要注意哪些问题？,116,"以下是《技能操作》（心理咨询师考试）科目的问题，请解答并把回复控制在116个汉字左右。
正确使用共情需要注意哪些问题？"
人文与社会科学,《技能操作》（心理咨询师考试）,简答题,45,简述有效使用积极关注的注意事项。,30,"以下是《技能操作》（心理咨询师考试）科目的问题，请解答并把回复控制在30个汉字左右。
简述有效使用积极关注的注意事项。"
人文与社会科学,《技能操作》（心理咨询师考试）,简答题,46,简述确定咨询目标的工作程序。,98,"以下是《技能操作》（心理咨询师考试）科目的问题，请解答并把回复控制在98个汉字左右。
简述确定咨询目标的工作程序。"
人文与社会科学,《技能操作》（心理咨询师考试）,简答题,47,简述搜集资料围绕的七个问题。,193,"以下是《技能操作》（心理咨询师考试）科目的问题，请解答并把回复控制在193个汉字左右。
简述搜集资料围绕的七个问题。"
人文与社会科学,《技能操作》（心理咨询师考试）,简答题,48,简述选择会谈方式应注意的求助者的因素。,32,"以下是《技能操作》（心理咨询师考试）科目的问题，请解答并把回复控制在32个汉字左右。
简述选择会谈方式应注意的求助者的因素。"
人文与社会科学,《技能操作》（心理咨询师考试）,简答题,49,简述深入了解求助者时的思路。,76,"以下是《技能操作》（心理咨询师考试）科目的问题，请解答并把回复控制在76个汉字左右。
简述深入了解求助者时的思路。"
人文与社会科学,《技能操作》（心理咨询师考试）,简答题,50,试述选择优先解决问题的思路。,274,"以下是《技能操作》（心理咨询师考试）科目的问题，请解答并把回复控制在274个汉字左右。
试述选择优先解决问题的思路。"
人文与社会科学,《技能操作》（心理咨询师考试）,简答题,51,有效目标包含哪些要素？,33,"以下是《技能操作》（心理咨询师考试）科目的问题，请解答并把回复控制在33个汉字左右。
有效目标包含哪些要素？"
人文与社会科学,《技能操作》（心理咨询师考试）,简答题,52,确定咨询目标的注意事项。,511,"以下是《技能操作》（心理咨询师考试）科目的问题，请解答并把回复控制在511个汉字左右。
确定咨询目标的注意事项。"
人文与社会科学,《技能操作》（心理咨询师考试）,简答题,53,和求助者商定咨询目标时需要注意什么问题？,211,"以下是《技能操作》（心理咨询师考试）科目的问题，请解答并把回复控制在211个汉字左右。
和求助者商定咨询目标时需要注意什么问题？"
人文与社会科学,《技能操作》（心理咨询师考试）,简答题,54,简述制定咨询方案的工作程序。,20,"以下是《技能操作》（心理咨询师考试）科目的问题，请解答并把回复控制在20个汉字左右。
简述制定咨询方案的工作程序。"
人文与社会科学,《技能操作》（心理咨询师考试）,简答题,55,咨询分那几个阶段？,14,"以下是《技能操作》（心理咨询师考试）科目的问题，请解答并把回复控制在14个汉字左右。
咨询分那几个阶段？"
人文与社会科学,《技能操作》（心理咨询师考试）,简答题,56,咨询方案包含哪些内容？,87,"以下是《技能操作》（心理咨询师考试）科目的问题，请解答并把回复控制在87个汉字左右。
咨询方案包含哪些内容？"
人文与社会科学,《技能操作》（心理咨询师考试）,简答题,57,简述商定咨询方案时的注意事项。,156,"以下是《技能操作》（心理咨询师考试）科目的问题，请解答并把回复控制在156个汉字左右。
简述商定咨询方案时的注意事项。"
人文与社会科学,《技能操作》（心理咨询师考试）,简答题,58,试述选择咨询方法的一般原则。,71,"以下是《技能操作》（心理咨询师考试）科目的问题，请解答并把回复控制在71个汉字左右。
试述选择咨询方法的一般原则。"
人文与社会科学,《技能操作》（心理咨询师考试）,简答题,59,都有哪些主要参与性技术？,54,"以下是《技能操作》（心理咨询师考试）科目的问题，请解答并把回复控制在54个汉字左右。
都有哪些主要参与性技术？"
人文与社会科学,《技能操作》（心理咨询师考试）,简答题,60,如何倾听？,248,"以下是《技能操作》（心理咨询师考试）科目的问题，请解答并把回复控制在248个汉字左右。
如何倾听？"
人文与社会科学,《技能操作》（心理咨询师考试）,简答题,61,倾听时容易犯什么错误？,82,"以下是《技能操作》（心理咨询师考试）科目的问题，请解答并把回复控制在82个汉字左右。
倾听时容易犯什么错误？"
人文与社会科学,《技能操作》（心理咨询师考试）,简答题,62,简述应用“具体化”技术的情境。,21,"以下是《技能操作》（心理咨询师考试）科目的问题，请解答并把回复控制在21个汉字左右。
简述应用“具体化”技术的情境。"
人文与社会科学,《技能操作》（心理咨询师考试）,简答题,63,常用的影响性技术有哪些？,39,"以下是《技能操作》（心理咨询师考试）科目的问题，请解答并把回复控制在39个汉字左右。
常用的影响性技术有哪些？"
人文与社会科学,《技能操作》（心理咨询师考试）,简答题,64,面质针对的有哪些求助者矛盾？,30,"以下是《技能操作》（心理咨询师考试）科目的问题，请解答并把回复控制在30个汉字左右。
面质针对的有哪些求助者矛盾？"
人文与社会科学,《技能操作》（心理咨询师考试）,简答题,65,简述面质的目的。,230,"以下是《技能操作》（心理咨询师考试）科目的问题，请解答并把回复控制在230个汉字左右。
简述面质的目的。"
人文与社会科学,《技能操作》（心理咨询师考试）,简答题,66,试述面质的注意事项。,40,"以下是《技能操作》（心理咨询师考试）科目的问题，请解答并把回复控制在40个汉字左右。
试述面质的注意事项。"
